CAMPO,CAMPO(JSON)
CompanyCode,companyCode
PurchaseOrderType,purchaseOrderType
Supplier,externalId
PaymentTerms,paymentTermsCode
PurchasingOrganization,purchasingOrganization
PurchasingGroup,purchasingGroup
PurchaseOrderDate,purchaseOrderCreationDate
Material,productId
Plant,siteCode
OrderQuantity,supplierItemQuantity
PurchaseOrderQuantityUnit,supplierItemMeasureCode
NetPriceAmount,unitPrice
DocumentCurrency,currency
TaxCode,taxCode
AccountAssignmentCategory,accountAssignmentCategory
MultipleAcctAssgmtDistribution,accountAssignmentDistribution
PartialInvoiceDistribution,PartialInvoiceDistribution
GoodsReceiptIsExpected,GoodsReceiptIsExpected
IncotermsClassification,
IncotermsLocation1,
AccountAssignmentNumber,acctAssignmentSeq
MultipleAcctAssgmtDistrPercent,apportionmentPercent
DocumentCurrency,currency
GLAccount,ledgerAccountCode
Profitcenter,
CostCenter,costCenterCode
OrderID,
BusinessArea,businessArea
ControllingArea,controllingArea
AccountAssignmentNumber,acctAssignmentSeq
MultipleAcctAssgmtDistrPercent,apportionmentPercent
DocumentCurrency,currency
GLAccount,ledgerAccountCode
Profitcenter,
CostCenter,costCenterCode
OrderID,
BusinessArea,businessArea
ControllingArea,controllingArea
DelivDateCategory,
ScheduleLineOrderQuantity,
PurchaseOrderQuantityUnit,
ScheduleLineDeliveryDate,
PerformancePeriodStartDate,
PerformancePeriodEndDate,
